"","block.no","lar.density","rep","sex","dev.time","b.mass.em"
"229",5.2,"high",5,"F","191.6333333333605",1.49
"230",5.2,"high",5,"F","213.84999999997672",1.29
"231",5.2,"high",5,"F","200.91666666674428",1.09
"232",5.2,"high",5,"F","208.71666666667443",1.21
"233",5.2,"high",5,"F","259.73333333339542",1.09
"234",5.2,"high",5,"F","491.91666666674428",1.11
"235",5.2,"high",5,"F","428.49999999994179",1.19
"236",6.1,"low",9,"F","211.08333333337214",2.64
"237",6.1,"low",9,"F","211.35000000003492",3.04
"238",6.1,"low",9,"F","176.8666666665813",2.92
"239",6.1,"low",9,"F","211.01666666666279",2.92
"240",6.1,"low",9,"F","207.75",2.91
"241",6.1,"low",9,"F","206.18333333329065",2.82
"242",6.1,"low",9,"F","202.35000000003492",2.88
"243",6.1,"low",9,"F","223.74999999994179",2.86
"244",6.1,"low",9,"F","196.6333333334187",3.17
"245",6.1,"low",9,"F","205.58333333325572",2.87
"246",6.2,"high",6,"F","191.93333333329065",2.31
"247",6.2,"high",6,"F","201.01666666672099",1.67
"248",6.2,"high",6,"F","198.89999999996508",1.84
"249",6.2,"high",6,"F","198.14999999996508",1.96
"250",6.2,"high",6,"F","200.58333333337214",1.76
"251",6.2,"high",6,"F","206.73333333333721",1.96
"252",6.2,"high",6,"F","201.31666666665114",1.68
"253",6.2,"high",6,"F","200.85000000003492",1.26
"254",6.2,"high",6,"F","206.73333333333721",1.75
"255",6.2,"high",6,"F","207",1.81
"256",6.2,"high",6,"F","209.90000000002328",2.1
"257",6.2,"high",6,"F","191.65000000008149",2.25
"258",6.2,"high",6,"F","206.18333333329065",1.64
"259",6.2,"high",6,"F","231.3666666666395",1.49
"260",6.2,"high",6,"F","197.68333333334886",1.63
"261",6.2,"high",6,"F","224.49999999994179",1.42
"262",6.2,"high",6,"F","186.09999999997672",1.73
"263",6.2,"high",6,"F","207.19999999995343",1.4
"264",6.2,"high",6,"F","201.63333333330229",1.43
"265",6.2,"high",6,"F","199.61666666669771",1.52
"266",6.2,"high",6,"F","203.93333333329065",1.46
"267",6.2,"high",6,"F","204.3666666666395",1.48
"268",6.2,"high",6,"F","194.78333333332557",2.01
"269",9.1,"low",10,"F","187.28333333332557",3.27
"270",9.1,"low",10,"F","213.09999999997672",2.78
"271",9.1,"low",10,"F","187.94999999989523",3.08
"272",9.1,"low",10,"F","196.16666666662786",2.86
"273",9.1,"low",10,"F","199.96666666661622",2.81
"274",9.31,"low",11,"F","188.56666666665114",2.92
"275",9.31,"low",11,"F","188.58333333319752",3.04
"276",9.31,"low",11,"F","188.56666666665114",3.09
"277",9.31,"low",11,"F","200.95000000001164",2.73
"278",9.31,"low",11,"F","215.43333333323244",2.44
"279",9.31,"low",11,"F","194.76666666660458",3.19
"280",9.31,"low",11,"F","190.5",3
"281",9.31,"low",11,"F","188.56666666665114",2.88
"282",9.31,"low",11,"F","188.6333333333605",3.17
"283",9.31,"low",11,"F","193.03333333320916",2.88
"284",9.32,"low",12,"F","187.63333333324408",3.01
"285",9.32,"low",12,"F","166.19999999989523",3.03
"286",9.32,"low",12,"F","218.34999999997672",2.97
"287",9.32,"low",12,"F","220.26666666660458",2.93
"288",9.32,"low",12,"F","221.73333333333721",2.64
"289",9.32,"low",12,"F","207.53333333332557",3.01
"290",9.32,"low",12,"F","221.26666666654637",2.87
"291",9.32,"low",12,"F","217.51666666654637",3.04
"292",9.32,"low",12,"F","222.11666666652309",2.95
"293",9.32,"low",12,"F","233.0999999998603",2.52
"294",9.31,"high",7,"F","188.56666666665114",1.55
"295",9.31,"high",7,"F","188.58333333319752",1.49
"296",9.31,"high",7,"F","189.16666666668607",2.02
"297",9.31,"high",7,"F","195.26666666666279",1.73
"298",9.31,"high",7,"F","203.8499999998603",1.72
"299",9.31,"high",7,"F","188.54999999993015",1.64
"300",9.31,"high",7,"F","188.56666666665114",1.65
"301",9.31,"high",7,"F","189.11666666652309",1.47
"302",9.31,"high",7,"F","196.69999999995343",1.73
"303",9.31,"high",7,"F","190.14999999990687",1.61
"304",9.31,"high",7,"F","211.03333333320916",1.16
"305",9.31,"high",7,"F","198.6166666665813",1.39
"306",9.31,"high",7,"F","213.26666666666279",1.4
"307",9.31,"high",7,"F","197.8499999998603",1.29
"308",9.31,"high",7,"F","215.01666666660458",1.34
"309",9.31,"high",7,"F","209.44999999995343",1.16
"310",9.31,"high",7,"F","195.11666666652309",1.38
"311",9.31,"high",7,"F","208.43333333329065",1.1
"312",9.31,"high",7,"F","224.96666666655801",1.15
"313",9.31,"high",7,"F","226.21666666661622",1
"314",9.31,"high",7,"F","231.2333333332208",1.05
"315",9.31,"high",7,"F","235.18333333334886",1.05
"316",9.31,"high",7,"F","219.19999999995343",1.22
"317",9.31,"high",7,"F","231.76666666654637",1.01
"318",9.31,"high",7,"F","229.56666666653473",1.14
